dt,average
2019-01-01,3.45
2019-01-02,4.3
2019-01-03,7.4
2019-01-04,10.55
2019-01-05,10.85
2019-01-06,9.55
2019-01-07,8.8
2019-01-08,8.15
2019-01-09,7.85
2019-01-10,7.6
2019-01-11,7.5
2019-01-12,6.65
2019-01-13,5.5
2019-01-14,4.0
2019-01-15,3.6
2019-01-16,3.55
2019-01-17,4.8
2019-01-18,7.6
2019-01-19,9.35
2019-01-20,11.0
2019-01-21,10.95
2019-01-22,10.2
2019-01-23,9.15
2019-01-24,8.45
2019-01-25,6.8
2019-01-26,5.75
2019-01-27,4.35
2019-01-28,3.65
2019-01-29,3.35
2019-01-30,3.1
2019-01-31,4.2
2019-02-01,6.35
2019-02-02,9.3
2019-02-03,9.65
2019-02-04,9.0
2019-02-05,8.25
2019-02-06,7.2
2019-02-07,6.6
2019-02-08,5.55
2019-02-09,4.9
2019-02-10,4.5
2019-02-11,4.4
2019-02-12,3.8
2019-02-13,3.25
2019-02-14,2.95
2019-02-15,3.35
2019-02-16,6.25
2019-02-17,9.7
2019-02-18,10.8
2019-02-19,11.6
2019-02-20,11.3
2019-02-21,9.65
2019-02-22,9.35
2019-02-23,8.6
2019-02-24,7.65
2019-02-25,6.3
2019-02-26,5.1
2019-02-27,4.5
2019-02-28,4.5
2019-03-01,4.7
2019-03-02,5.25
2019-03-03,7.0
2019-03-04,7.6
2019-03-05,8.05
2019-03-06,7.85
2019-03-07,6.4
2019-03-08,5.15
2019-03-09,4.45
2019-03-10,3.8
2019-03-11,2.8
2019-03-12,2.5
2019-03-13,2.1
2019-03-14,1.85
2019-03-15,2.05
2019-03-16,3.2
2019-03-17,5.95
2019-03-18,7.8
2019-03-19,8.05
2019-03-20,8.45
2019-03-21,9.0
2019-03-22,8.95
2019-03-23,7.2
2019-03-24,6.35
2019-03-25,4.8
2019-03-26,3.75
2019-03-27,3.1
2019-03-28,2.55
2019-03-29,3.15
2019-03-30,3.75
2019-03-31,3.35
2019-04-01,4.2
2019-04-02,5.1
2019-04-03,5.95
2019-04-04,6.2
2019-04-05,6.05
2019-04-06,5.25
2019-04-07,4.4
2019-04-08,3.85
2019-04-09,3.45
2019-04-10,2.65
2019-04-11,2.65
2019-04-12,2.1
2019-04-13,2.2
2019-04-14,2.1
2019-04-15,2.3
2019-04-16,2.8
2019-04-17,3.6
2019-04-18,3.85
2019-04-19,3.6
2019-04-20,3.45
2019-04-21,2.95
2019-04-22,2.85
2019-04-23,2.6
2019-04-24,2.5
2019-04-25,2.5
2019-04-26,2.55
2019-04-27,2.65
2019-04-28,2.65
2019-04-29,2.9
2019-04-30,3.2
2019-05-01,3.15
2019-05-02,3.55
2019-05-03,3.8
2019-05-04,3.65
2019-05-05,3.45
2019-05-06,2.9
2019-05-07,2.85
2019-05-08,2.5
2019-05-09,2.25
2019-05-10,2.1
2019-05-11,2.25
2019-05-12,2.75
2019-05-13,3.55
2019-05-14,3.9
2019-05-15,3.95
2019-05-16,4.35
2019-05-17,3.45
2019-05-18,2.35
2019-05-19,2.0
2019-05-20,1.85
2019-05-21,1.65
2019-05-22,1.65
2019-05-23,1.5
2019-05-24,1.65
2019-05-25,2.15
2019-05-26,2.5
2019-05-27,3.05
2019-05-28,3.55
2019-05-29,3.8
2019-05-30,4.3
2019-05-31,4.6
2019-06-01,5.55
2019-06-02,6.2
2019-06-03,6.0
2019-06-04,5.15
2019-06-05,3.8
2019-06-06,3.65
2019-06-07,3.1
2019-06-08,2.35
2019-06-09,1.9
2019-06-10,1.55
2019-06-11,1.35
2019-06-12,1.2
2019-06-13,1.25
2019-06-14,1.1
2019-06-15,1.05
2019-06-16,0.9
2019-06-17,0.8
2019-06-18,0.95
2019-06-19,1.5
2019-06-20,1.75
2019-06-21,1.75
2019-06-22,2.05
2019-06-23,2.05
2019-06-24,1.55
2019-06-25,1.05
2019-06-26,0.8
2019-06-27,0.9
2019-06-28,1.2
2019-06-29,1.85
2019-06-30,3.25
