dt,average
2018-01-01,3.95
2018-01-02,4.65
2018-01-03,4.3
2018-01-04,3.7
2018-01-05,2.9
2018-01-06,2.2
2018-01-07,1.8
2018-01-08,1.35
2018-01-09,1.2
2018-01-10,1.0
2018-01-11,1.2
2018-01-12,2.35
2018-01-13,3.35
2018-01-14,4.35
2018-01-15,5.5
2018-01-16,6.15
2018-01-17,6.1
2018-01-18,5.0
2018-01-19,3.65
2018-01-20,3.3
2018-01-21,2.8
2018-01-22,2.25
2018-01-23,2.25
2018-01-24,2.6
2018-01-25,2.0
2018-01-26,1.6
2018-01-27,2.25
2018-01-28,3.55
2018-01-29,4.7
2018-01-30,5.15
2018-01-31,5.45
2018-02-01,5.8
2018-02-02,4.8625
2018-02-03,4.425
2018-02-04,4.0125
2018-02-05,3.75
2018-02-06,3.45
2018-02-07,2.9
2018-02-08,2.2375
2018-02-09,1.95
2018-02-10,2.35
2018-02-11,3.9
2018-02-12,6.15
2018-02-13,7.8
2018-02-14,8.65
2018-02-15,7.8625
2018-02-16,6.825
2018-02-17,5.9375
2018-02-18,5.3
2018-02-19,4.45
2018-02-20,3.6625
2018-02-21,3.6
2018-02-22,3.75
2018-02-23,3.15
2018-02-24,2.75
2018-02-25,3.2375
2018-02-26,5.725
2018-02-27,8.7625
2018-02-28,8.9
2018-03-01,8.975
2018-03-02,8.575
2018-03-03,8.5
2018-03-04,7.2
2018-03-05,6.75
2018-03-06,4.4125
2018-03-07,3.6
2018-03-08,2.5875
2018-03-09,2.6
2018-03-10,3.1
2018-03-11,3.55
2018-03-12,3.4875
2018-03-13,5.8
2018-03-14,8.75
2018-03-15,9.9
2018-03-16,10.3
2018-03-17,10.45
2018-03-18,10.1375
2018-03-19,9.25
2018-03-20,8.5875
2018-03-21,6.6
2018-03-22,6.2625
2018-03-23,5.825
2018-03-24,5.7
2018-03-25,5.6
2018-03-26,6.25
2018-03-27,8.45
2018-03-28,8.8
2018-03-29,9.75
2018-03-30,9.05
2018-03-31,8.65
2018-04-01,8.8
2018-04-02,8.6
2018-04-03,7.6
2018-04-04,6.3
2018-04-05,5.0
2018-04-06,4.25
2018-04-07,4.45
2018-04-08,4.25
2018-04-09,3.8
2018-04-10,4.15
2018-04-11,4.1
2018-04-12,5.25
2018-04-13,7.75
2018-04-14,8.55
2018-04-15,8.25
2018-04-16,8.45
2018-04-17,8.25
2018-04-18,7.8
2018-04-19,7.85
2018-04-20,6.5
2018-04-21,5.7
2018-04-22,4.95
2018-04-23,4.4
2018-04-24,4.45
2018-04-25,4.15
2018-04-26,4.5
2018-04-27,4.75
2018-04-28,4.9
2018-04-29,4.85
2018-04-30,4.65
2018-05-01,4.1
2018-05-02,3.15
2018-05-03,2.7
2018-05-04,1.85
2018-05-05,1.4
2018-05-06,1.1
2018-05-07,1.15
2018-05-08,1.1
2018-05-09,1.7
2018-05-10,2.25
2018-05-11,3.05
2018-05-12,4.3
2018-05-13,5.45
2018-05-14,5.3
2018-05-15,4.6
2018-05-16,3.95
2018-05-17,3.0
2018-05-18,2.5
2018-05-19,2.1
2018-05-20,1.6
2018-05-21,1.3
2018-05-22,1.4
2018-05-23,1.5
2018-05-24,2.05
2018-05-25,2.5
2018-05-26,2.55
2018-05-27,2.05
2018-05-28,1.9
2018-05-29,1.3
2018-05-30,1.0
2018-05-31,1.05
2018-06-01,0.85
2018-06-02,0.9
2018-06-03,0.85
2018-06-04,1.05
2018-06-05,1.45
2018-06-06,1.8
2018-06-07,2.05
2018-06-08,2.4
2018-06-09,2.6
2018-06-10,2.8
2018-06-11,3.2
2018-06-12,2.95
2018-06-13,3.1
2018-06-14,2.85
2018-06-15,2.55
2018-06-16,2.1
2018-06-17,2.15
2018-06-18,1.9
2018-06-19,1.85
2018-06-20,2.05
2018-06-21,1.95
2018-06-22,1.95
2018-06-23,2.2
2018-06-24,2.05
2018-06-25,1.75
2018-06-26,1.95
2018-06-27,2.15
2018-06-28,2.3
2018-06-29,2.3
2018-06-30,2.0
