dt,average
2016-01-01,7.25
2016-01-02,5.9
2016-01-03,4.4
2016-01-04,4.1
2016-01-05,4.55
2016-01-06,6.45
2016-01-07,9.5
2016-01-08,11.8
2016-01-09,12.1
2016-01-10,11.1
2016-01-11,10.45
2016-01-12,9.1
2016-01-13,8.35
2016-01-14,9.15
2016-01-15,7.95
2016-01-16,6.55
2016-01-17,5.7
2016-01-18,4.65
2016-01-19,4.4
2016-01-20,5.2
2016-01-21,5.85
2016-01-22,5.95
2016-01-23,6.9
2016-01-24,8.65
2016-01-25,10.1
2016-01-26,11.55
2016-01-27,11.7
2016-01-28,10.45
2016-01-29,9.4
2016-01-30,8.5
2016-01-31,6.0
2016-02-01,4.6
2016-02-02,3.75
2016-02-03,3.5
2016-02-04,5.5
2016-02-05,10.55
2016-02-06,13.05
2016-02-07,15.8
2016-02-08,16.5
2016-02-09,15.1
2016-02-10,13.35
2016-02-11,12.1
2016-02-12,11.1
2016-02-13,9.35
2016-02-14,7.05
2016-02-15,6.3
2016-02-16,5.4
2016-02-17,4.65
2016-02-18,6.15
2016-02-19,8.2
2016-02-20,10.6
2016-02-21,12.3
2016-02-22,12.05
2016-02-23,10.85
2016-02-24,11.1
2016-02-25,11.45
2016-02-26,11.4
2016-02-27,11.0
2016-02-28,10.05
2016-02-29,7.9
2016-03-01,4.95
2016-03-02,4.25
2016-03-03,4.1
2016-03-04,6.3
2016-03-05,9.35
2016-03-06,12.1
2016-03-07,13.75
2016-03-08,13.75
2016-03-09,13.95
2016-03-10,13.45
2016-03-11,13.9
2016-03-12,14.0
2016-03-13,12.3
2016-03-14,11.55
2016-03-15,10.8
2016-03-16,10.15
2016-03-17,9.25
2016-03-18,8.55
2016-03-19,7.85
2016-03-20,7.5
2016-03-21,7.75
2016-03-22,7.45
2016-03-23,6.3
2016-03-24,5.7
2016-03-25,6.3
2016-03-26,7.35
2016-03-27,8.35
2016-03-28,8.65
2016-03-29,8.25
2016-03-30,7.65
2016-03-31,6.05
2016-04-01,5.4
2016-04-02,5.6
2016-04-03,6.65
2016-04-04,7.75
2016-04-05,8.65
2016-04-06,8.85
2016-04-07,8.45
2016-04-08,7.6
2016-04-09,7.05
2016-04-10,6.3
2016-04-11,6.1
2016-04-12,5.1
2016-04-13,4.4
2016-04-14,3.9
2016-04-15,3.2
2016-04-16,3.15
2016-04-17,3.2
2016-04-18,3.75
2016-04-19,5.0
2016-04-20,5.6
2016-04-21,4.95
2016-04-22,4.65
2016-04-23,4.2
2016-04-24,3.85
2016-04-25,3.4
2016-04-26,2.9
2016-04-27,2.65
2016-04-28,2.35
2016-04-29,2.35
2016-04-30,2.3
2016-05-01,2.45
2016-05-02,3.25
2016-05-03,4.4
2016-05-04,5.55
2016-05-05,6.65
2016-05-06,6.05
2016-05-07,6.55
2016-05-08,6.4
2016-05-09,6.4
2016-05-10,6.0
2016-05-11,5.25
2016-05-12,4.8
2016-05-13,4.25
2016-05-14,3.8
2016-05-15,3.8
2016-05-16,3.65
2016-05-17,3.55
2016-05-18,3.65
2016-05-19,4.3
2016-05-20,4.8
2016-05-21,4.1
2016-05-22,3.4
2016-05-23,2.5
2016-05-24,2.05
2016-05-25,1.5
2016-05-26,1.15
2016-05-27,0.95
2016-05-28,0.95
2016-05-29,1.05
2016-05-30,1.15
2016-05-31,1.65
2016-06-01,2.25
2016-06-02,2.45
2016-06-03,1.7
2016-06-04,1.25
2016-06-05,1.0
2016-06-06,1.0125
2016-06-07,0.9125
2016-06-08,0.75
2016-06-09,0.85
2016-06-10,1.15
2016-06-11,0.9
2016-06-12,0.9
2016-06-13,1.0125
2016-06-14,1.2625
2016-06-15,1.5125
2016-06-16,2.15
2016-06-17,3.2
2016-06-18,3.225
2016-06-19,3.0
2016-06-20,2.35
2016-06-21,2.05
2016-06-22,1.55
2016-06-23,1.15
2016-06-24,1.05
2016-06-25,0.65
2016-06-26,0.4
2016-06-27,0.35
2016-06-28,0.25
2016-06-29,0.15
2016-06-30,0.1
