dt,average
2014-01-01,1.0
2014-01-02,1.0
2014-01-03,1.0
2014-01-04,0.85
2014-01-05,0.95
2014-01-06,1.05
2014-01-07,0.9
2014-01-08,0.85
2014-01-09,1.05
2014-01-10,1.3
2014-01-11,1.45
2014-01-12,1.9
2014-01-13,2.45
2014-01-14,3.2
2014-01-15,3.5
2014-01-16,3.3
2014-01-17,3.0
2014-01-18,2.55
2014-01-19,2.55
2014-01-20,2.6
2014-01-21,2.6
2014-01-22,2.65
2014-01-23,2.55
2014-01-24,2.45
2014-01-25,2.25
2014-01-26,2.45
2014-01-27,3.3
2014-01-28,4.45
2014-01-29,5.05
2014-01-30,4.65
2014-01-31,4.6
2014-02-01,4.4
2014-02-02,4.1
2014-02-03,3.3
2014-02-04,2.9
2014-02-05,2.45
2014-02-06,2.0
2014-02-07,1.7
2014-02-08,1.35
2014-02-09,1.6
2014-02-10,2.25
2014-02-11,3.2
2014-02-12,5.15
2014-02-13,5.75
2014-02-14,6.5
2014-02-15,6.85
2014-02-16,6.1
2014-02-17,5.05
2014-02-18,4.65
2014-02-19,4.3
2014-02-20,4.55
2014-02-21,3.9
2014-02-22,3.35
2014-02-23,3.25
2014-02-24,3.3
2014-02-25,3.8
2014-02-26,5.0
2014-02-27,6.9
2014-02-28,7.65
2014-03-01,6.7
2014-03-02,6.8
2014-03-03,6.4
2014-03-04,5.1
2014-03-05,4.2
2014-03-06,2.95
2014-03-07,2.55
2014-03-08,2.3
2014-03-09,2.65
2014-03-10,3.2
2014-03-11,3.75
2014-03-12,4.05
2014-03-13,5.15
2014-03-14,7.1
2014-03-15,7.65
2014-03-16,8.2
2014-03-17,7.8
2014-03-18,6.85
2014-03-19,5.05
2014-03-20,4.5
2014-03-21,4.2
2014-03-22,4.05
2014-03-23,4.0
2014-03-24,4.3
2014-03-25,4.65
2014-03-26,6.35
2014-03-27,7.4
2014-03-28,7.3
2014-03-29,7.1
2014-03-30,6.7
2014-03-31,6.0
2014-04-01,5.0
2014-04-02,4.2
2014-04-03,3.75
2014-04-04,3.2
2014-04-05,2.95
2014-04-06,2.7
2014-04-07,2.85
2014-04-08,2.9
2014-04-09,3.25
2014-04-10,3.35
2014-04-11,3.6
2014-04-12,4.35
2014-04-13,4.8
2014-04-14,4.9
2014-04-15,4.3
2014-04-16,3.3
2014-04-17,3.15
2014-04-18,2.85
2014-04-19,2.5
2014-04-20,2.0
2014-04-21,1.85
2014-04-22,1.85
2014-04-23,2.05
2014-04-24,2.85
2014-04-25,3.6
2014-04-26,3.75
2014-04-27,3.6
2014-04-28,3.25
2014-04-29,2.95
2014-04-30,2.6
2014-05-01,2.35
2014-05-02,2.15
2014-05-03,1.9
2014-05-04,1.95
2014-05-05,2.5
2014-05-06,3.0
2014-05-07,3.05
2014-05-08,3.2
2014-05-09,3.2
2014-05-10,3.4
2014-05-11,3.75
2014-05-12,3.2
2014-05-13,3.0
2014-05-14,2.7
2014-05-15,2.1
2014-05-16,1.95
2014-05-17,1.75
2014-05-18,1.55
2014-05-19,1.5
2014-05-20,1.65
2014-05-21,1.8
2014-05-22,2.0
2014-05-23,2.2
2014-05-24,2.55
2014-05-25,2.55
2014-05-26,2.5
2014-05-27,2.0
2014-05-28,1.6
2014-05-29,1.5
2014-05-30,1.6
2014-05-31,1.85
2014-06-01,1.85
2014-06-02,2.0
2014-06-03,1.65
2014-06-04,1.7
2014-06-05,1.75
2014-06-06,1.85
2014-06-07,2.2
2014-06-08,2.85
2014-06-09,3.8
2014-06-10,5.15
2014-06-11,4.1
2014-06-12,3.7
2014-06-13,3.25
2014-06-14,2.95
2014-06-15,2.4
2014-06-16,2.05
2014-06-17,1.25
2014-06-18,0.95
2014-06-19,0.7
2014-06-20,0.55
2014-06-21,0.6
2014-06-22,0.55
2014-06-23,0.5
2014-06-24,0.4
2014-06-25,0.4
2014-06-26,0.35
2014-06-27,0.25
2014-06-28,0.15
2014-06-29,0.1
