dt,average
2015-01-01,4.0
2015-01-02,5.25
2015-01-03,6.4
2015-01-04,6.75
2015-01-05,6.45
2015-01-06,5.95
2015-01-07,6.05
2015-01-08,5.8
2015-01-09,5.25
2015-01-10,5.0
2015-01-11,4.4
2015-01-12,3.85
2015-01-13,3.4
2015-01-14,3.4
2015-01-15,3.95
2015-01-16,5.65
2015-01-17,8.0
2015-01-18,9.8
2015-01-19,10.3
2015-01-20,10.6
2015-01-21,9.95
2015-01-22,10.0
2015-01-23,9.65
2015-01-24,8.05
2015-01-25,5.65
2015-01-26,4.7
2015-01-27,4.45
2015-01-28,3.55
2015-01-29,2.9
2015-01-30,3.35
2015-01-31,5.6
2015-02-01,8.35
2015-02-02,9.65
2015-02-03,9.85
2015-02-04,10.15
2015-02-05,8.65
2015-02-06,8.65
2015-02-07,7.9
2015-02-08,7.7
2015-02-09,7.1
2015-02-10,5.5
2015-02-11,4.35
2015-02-12,3.9
2015-02-13,3.6
2015-02-14,3.7
2015-02-15,6.6
2015-02-16,8.8
2015-02-17,10.25
2015-02-18,11.25
2015-02-19,11.5
2015-02-20,11.45
2015-02-21,10.75
2015-02-22,9.15
2015-02-23,8.5
2015-02-24,7.25
2015-02-25,5.7
2015-02-26,4.45
2015-02-27,3.75
2015-02-28,4.1
2015-03-01,4.8
2015-03-02,6.35
2015-03-03,6.5
2015-03-04,6.95
2015-03-05,6.55
2015-03-06,6.75
2015-03-07,6.25
2015-03-08,6.6
2015-03-09,6.4
2015-03-10,6.2
2015-03-11,6.1
2015-03-12,4.8
2015-03-13,4.75
2015-03-14,4.0
2015-03-15,3.85
2015-03-16,4.75
2015-03-17,5.95
2015-03-18,7.5
2015-03-19,8.1
2015-03-20,8.3
2015-03-21,8.6
2015-03-22,8.8
2015-03-23,8.95
2015-03-24,7.9
2015-03-25,7.45
2015-03-26,6.95
2015-03-27,6.75
2015-03-28,5.85
2015-03-29,5.3
2015-03-30,5.35
2015-03-31,5.3
2015-04-01,5.65
2015-04-02,7.35
2015-04-03,7.85
2015-04-04,6.9
2015-04-05,6.2
2015-04-06,5.4
2015-04-07,4.8
2015-04-08,4.75
2015-04-09,4.35
2015-04-10,4.65
2015-04-11,5.6
2015-04-12,5.3
2015-04-13,5.1
2015-04-14,6.35
2015-04-15,7.5
2015-04-16,7.85
2015-04-17,7.7
2015-04-18,7.5
2015-04-19,7.05
2015-04-20,6.3
2015-04-21,5.95
2015-04-22,4.25
2015-04-23,3.9
2015-04-24,3.85
2015-04-25,4.5
2015-04-26,5.2
2015-04-27,5.25
2015-04-28,4.1
2015-04-29,4.05
2015-04-30,4.05
2015-05-01,4.75
2015-05-02,5.95
2015-05-03,6.3
2015-05-04,5.7
2015-05-05,5.05
2015-05-06,4.55
2015-05-07,4.1
2015-05-08,3.85
2015-05-09,3.55
2015-05-10,3.0
2015-05-11,3.15
2015-05-12,3.05
2015-05-13,3.0
2015-05-14,3.6
2015-05-15,4.05
2015-05-16,3.5
2015-05-17,3.35
2015-05-18,2.9
2015-05-19,2.6
2015-05-20,2.2
2015-05-21,1.85
2015-05-22,1.5
2015-05-23,1.2
2015-05-24,1.55
2015-05-25,1.85
2015-05-26,1.95
2015-05-27,2.2
2015-05-28,2.45
2015-05-29,2.25
2015-05-30,2.85
2015-05-31,4.5
2015-06-01,5.8
2015-06-02,5.65
2015-06-03,5.95
2015-06-04,5.7
2015-06-05,5.6
2015-06-06,5.7
2015-06-07,5.55
2015-06-08,5.2
2015-06-09,4.65
2015-06-10,4.35
2015-06-11,4.5
2015-06-12,4.25
2015-06-13,3.8
2015-06-14,3.2
2015-06-15,3.1
2015-06-16,2.4
2015-06-17,1.95
2015-06-18,1.6
2015-06-19,1.5
2015-06-20,1.4
2015-06-21,1.15
2015-06-22,0.8
2015-06-23,0.65
2015-06-24,0.6
2015-06-25,0.65
2015-06-26,0.4
2015-06-27,0.35
2015-06-28,0.25
2015-06-29,0.15
2015-06-30,0.1
